Date,DayOfWeek,IsWeekend,IsHoliday,Weather,Temperature,GuestCount
2021-10-03,6,1,0,Cloudy,27,104
2021-10-04,0,0,0,Rainy,25,19
2021-10-05,1,0,0,Cloudy,29,78
2021-10-06,2,0,0,Rainy,24,36
2021-10-07,3,0,0,Cloudy,29,55
2021-10-08,4,0,0,Rainy,25,10
2021-10-09,5,1,0,Rainy,26,59
2021-10-10,6,1,0,Cloudy,27,75
2021-10-11,0,0,0,Rainy,26,10
2021-10-12,1,0,0,Cloudy,28,40
2021-10-13,2,0,0,Rainy,25,10
2021-10-14,3,0,0,Rainy,26,14
2021-10-15,4,0,0,Rainy,25,10
2021-10-16,5,1,0,Rainy,26,44
2021-10-17,6,1,0,Rainy,25,59
2021-10-18,0,0,0,Cloudy,28,28
2021-10-19,1,0,1,Rainy,24,135
2021-10-20,2,0,1,Clear,29,167
2021-10-21,3,0,0,Cloudy,29,70
2021-10-22,4,0,0,Rainy,24,14
2021-10-23,5,1,0,Rainy,26,97
2021-10-24,6,1,0,Rainy,26,60
2021-10-25,0,0,0,Clear,30,50
2021-10-26,1,0,0,Cloudy,27,15
2021-10-27,2,0,0,Clear,31,80
2021-10-28,3,0,0,Clear,31,60
2021-10-29,4,0,0,Clear,31,76
2021-10-30,5,1,0,Rainy,25,88
2021-10-31,6,1,0,Cloudy,28,112
2021-11-01,0,0,0,Cloudy,28,82
2021-11-02,1,0,0,Rainy,25,27
2021-11-03,2,0,0,Rainy,24,24
2021-11-04,3,0,1,Rainy,24,85
2021-11-05,4,0,0,Rainy,24,32
2021-11-06,5,1,0,Rainy,26,148
2021-11-07,6,1,0,Cloudy,28,56
2021-11-08,0,0,0,Rainy,26,10
2021-11-09,1,0,0,Cloudy,29,58
2021-11-10,2,0,0,Cloudy,29,10
2021-11-11,3,0,0,Rainy,24,29
2021-11-12,4,0,0,Rainy,26,10
2021-11-13,5,1,0,Rainy,26,93
2021-11-14,6,1,0,Rainy,25,84
2021-11-15,0,0,0,Rainy,24,10
2021-11-16,1,0,0,Rainy,25,10
2021-11-17,2,0,0,Rainy,26,42
2021-11-18,3,0,1,Rainy,25,112
2021-11-19,4,0,0,Clear,31,44
2021-11-20,5,1,0,Rainy,24,132
2021-11-21,6,1,0,Rainy,25,85
2021-11-22,0,0,0,Cloudy,27,48
2021-11-23,1,0,0,Rainy,25,42
2021-11-24,2,0,0,Rainy,25,59
2021-11-25,3,0,0,Cloudy,27,38
2021-11-26,4,0,0,Clear,30,91
2021-11-27,5,1,0,Rainy,25,64
2021-11-28,6,1,0,Clear,30,162
2021-11-29,0,0,0,Clear,32,25
2021-11-30,1,0,0,Cloudy,28,15
2021-12-01,2,0,0,Clear,29,68
2021-12-02,3,0,0,Cloudy,29,57
2021-12-03,4,0,0,Rainy,26,14
2021-12-04,5,1,0,Clear,31,147
2021-12-05,6,1,0,Rainy,25,66
2021-12-06,0,0,0,Clear,32,62
2021-12-07,1,0,0,Cloudy,29,34
2021-12-08,2,0,0,Clear,31,61
2021-12-09,3,0,0,Cloudy,29,39
2021-12-10,4,0,0,Clear,30,104
2021-12-11,5,1,0,Clear,31,144
2021-12-12,6,1,0,Cloudy,29,137
2021-12-13,0,0,0,Clear,29,19
2021-12-14,1,0,0,Cloudy,28,45
2021-12-15,2,0,0,Clear,31,59
2021-12-16,3,0,0,Clear,32,103
2021-12-17,4,0,0,Clear,31,29
2021-12-18,5,1,1,Clear,31,168
2021-12-19,6,1,0,Cloudy,29,104
2021-12-20,0,0,0,Clear,31,58
2021-12-21,1,0,0,Cloudy,29,28
2021-12-22,2,0,0,Cloudy,29,21
2021-12-23,3,0,0,Clear,32,66
2021-12-24,4,0,0,Clear,30,49
2021-12-25,5,1,1,Clear,32,250
2021-12-26,6,1,0,Clear,30,154
2021-12-27,0,0,0,Clear,30,53
2021-12-28,1,0,0,Clear,30,98
2021-12-29,2,0,0,Cloudy,28,29
2021-12-30,3,0,0,Cloudy,27,32
2021-12-31,4,0,0,Rainy,25,10
2022-01-01,5,1,0,Cloudy,28,83
2022-01-02,6,1,0,Clear,30,137
2022-01-03,0,0,0,Clear,31,79
2022-01-04,1,0,0,Clear,30,62
2022-01-05,2,0,0,Cloudy,27,28
2022-01-06,3,0,0,Clear,29,67
2022-01-07,4,0,0,Cloudy,29,19
2022-01-08,5,1,0,Clear,30,101
2022-01-09,6,1,0,Clear,29,170
2022-01-10,0,0,0,Rainy,26,56
2022-01-11,1,0,0,Clear,31,63
2022-01-12,2,0,0,Clear,31,78
2022-01-13,3,0,0,Clear,30,80
2022-01-14,4,0,1,Clear,32,150
2022-01-15,5,1,0,Rainy,26,90
2022-01-16,6,1,0,Clear,30,100
2022-01-17,0,0,1,Clear,31,159
2022-01-18,1,0,0,Clear,30,28
2022-01-19,2,0,0,Clear,31,55
2022-01-20,3,0,0,Clear,29,76
2022-01-21,4,0,0,Cloudy,28,62
2022-01-22,5,1,0,Clear,32,144
2022-01-23,6,1,0,Cloudy,28,133
2022-01-24,0,0,0,Clear,31,65
2022-01-25,1,0,0,Cloudy,29,81
2022-01-26,2,0,0,Clear,30,74
2022-01-27,3,0,0,Cloudy,29,49
2022-01-28,4,0,0,Clear,29,41
2022-01-29,5,1,0,Cloudy,29,125
2022-01-30,6,1,0,Clear,30,142
2022-01-31,0,0,0,Clear,32,61
2022-02-01,1,0,0,Clear,31,62
2022-02-02,2,0,0,Cloudy,28,34
2022-02-03,3,0,0,Cloudy,29,54
2022-02-04,4,0,1,Cloudy,28,148
2022-02-05,5,1,0,Clear,31,108
2022-02-06,6,1,0,Clear,32,164
2022-02-07,0,0,0,Clear,31,78
2022-02-08,1,0,0,Cloudy,29,41
2022-02-09,2,0,0,Clear,29,79
2022-02-10,3,0,0,Clear,29,37
2022-02-11,4,0,0,Clear,29,64
2022-02-12,5,1,0,Cloudy,29,146
2022-02-13,6,1,0,Clear,32,152
2022-02-14,0,0,0,Clear,32,96
2022-02-15,1,0,0,Cloudy,28,66
2022-02-16,2,0,1,Rainy,24,53
2022-02-17,3,0,0,Clear,29,72
2022-02-18,4,0,0,Rainy,24,10
2022-02-19,5,1,0,Cloudy,27,96
2022-02-20,6,1,0,Cloudy,28,114
2022-02-21,0,0,0,Cloudy,27,65
2022-02-22,1,0,0,Clear,29,71
2022-02-23,2,0,0,Clear,30,67
2022-02-24,3,0,0,Clear,31,27
2022-02-25,4,0,0,Clear,29,40
2022-02-26,5,1,0,Clear,31,136
2022-02-27,6,1,0,Cloudy,29,149
2022-02-28,0,0,0,Rainy,26,55
2022-03-01,1,0,1,Clear,29,172
2022-03-02,2,0,0,Rainy,25,35
2022-03-03,3,0,0,Clear,31,92
2022-03-04,4,0,0,Clear,32,65
2022-03-05,5,1,0,Clear,29,183
2022-03-06,6,1,0,Clear,30,122
2022-03-07,0,0,0,Clear,30,65
2022-03-08,1,0,0,Clear,31,27
2022-03-09,2,0,0,Clear,32,32
2022-03-10,3,0,0,Clear,29,46
2022-03-11,4,0,0,Clear,31,72
2022-03-12,5,1,0,Clear,31,151
2022-03-13,6,1,0,Clear,31,133
2022-03-14,0,0,0,Rainy,26,10
2022-03-15,1,0,0,Cloudy,28,54
2022-03-16,2,0,0,Cloudy,28,83
2022-03-17,3,0,1,Rainy,24,118
2022-03-18,4,0,0,Clear,29,96
2022-03-19,5,1,0,Clear,30,148
2022-03-20,6,1,0,Clear,31,93
2022-03-21,0,0,0,Clear,32,61
2022-03-22,1,0,0,Cloudy,27,14
2022-03-23,2,0,0,Clear,30,39
2022-03-24,3,0,0,Clear,29,95
2022-03-25,4,0,0,Clear,32,46
2022-03-26,5,1,0,Cloudy,29,106
2022-03-27,6,1,0,Cloudy,27,166
2022-03-28,0,0,0,Clear,31,91
2022-03-29,1,0,0,Cloudy,27,70
2022-03-30,2,0,0,Clear,29,61
2022-03-31,3,0,0,Clear,31,24
2022-04-01,4,0,0,Rainy,26,26
2022-04-02,5,1,0,Clear,30,135
2022-04-03,6,1,0,Clear,31,155
2022-04-04,0,0,0,Cloudy,28,83
2022-04-05,1,0,0,Rainy,24,10
2022-04-06,2,0,0,Rainy,25,25
2022-04-07,3,0,0,Cloudy,27,34
2022-04-08,4,0,0,Rainy,26,10
2022-04-09,5,1,0,Clear,32,121
2022-04-10,6,1,0,Clear,30,137
2022-04-11,0,0,1,Cloudy,27,158
2022-04-12,1,0,1,Clear,30,162
2022-04-13,2,0,1,Clear,32,116
2022-04-14,3,0,1,Clear,30,157
2022-04-15,4,0,1,Clear,31,164
2022-04-16,5,1,1,Cloudy,28,223
2022-04-17,6,1,0,Clear,29,106
2022-04-18,0,0,0,Clear,32,52
2022-04-19,1,0,0,Cloudy,28,60
2022-04-20,2,0,0,Cloudy,27,32
2022-04-21,3,0,0,Cloudy,27,57
2022-04-22,4,0,0,Cloudy,28,59
2022-04-23,5,1,0,Clear,32,90
2022-04-24,6,1,0,Cloudy,27,77
2022-04-25,0,0,0,Rainy,26,10
2022-04-26,1,0,0,Clear,31,32
2022-04-27,2,0,0,Clear,32,33
2022-04-28,3,0,0,Clear,30,67
2022-04-29,4,0,0,Clear,32,45
2022-04-30,5,1,0,Cloudy,29,74
2022-05-01,6,1,1,Clear,30,218
2022-05-02,0,0,1,Rainy,24,106
2022-05-03,1,0,1,Clear,29,136
2022-05-04,2,0,0,Clear,31,49
2022-05-05,3,0,0,Rainy,26,53
2022-05-06,4,0,0,Rainy,24,24
2022-05-07,5,1,0,Rainy,26,10
2022-05-08,6,1,0,Rainy,24,110
2022-05-09,0,0,0,Rainy,26,10
2022-05-10,1,0,0,Rainy,24,34
2022-05-11,2,0,0,Rainy,26,10
2022-05-12,3,0,0,Clear,32,49
2022-05-13,4,0,0,Cloudy,28,40
2022-05-14,5,1,0,Clear,29,172
2022-05-15,6,1,1,Rainy,24,145
2022-05-16,0,0,1,Rainy,26,140
2022-05-17,1,0,0,Cloudy,28,60
2022-05-18,2,0,0,Rainy,25,10
2022-05-19,3,0,0,Rainy,25,27
2022-05-20,4,0,0,Rainy,24,37
2022-05-21,5,1,0,Clear,31,124
2022-05-22,6,1,0,Rainy,26,61
2022-05-23,0,0,0,Rainy,24,42
2022-05-24,1,0,0,Cloudy,27,78
2022-05-25,2,0,0,Cloudy,29,70
2022-05-26,3,0,0,Cloudy,29,77
2022-05-27,4,0,0,Rainy,25,35
2022-05-28,5,1,0,Cloudy,28,157
2022-05-29,6,1,0,Clear,31,166
2022-05-30,0,0,0,Cloudy,27,74
2022-05-31,1,0,0,Rainy,26,28
2022-06-01,2,0,0,Cloudy,27,60
2022-06-02,3,0,0,Cloudy,29,76
2022-06-03,4,0,0,Rainy,24,10
2022-06-04,5,1,0,Rainy,24,80
2022-06-05,6,1,0,Rainy,25,46
2022-06-06,0,0,0,Rainy,25,10
2022-06-07,1,0,0,Rainy,25,29
2022-06-08,2,0,0,Clear,31,38
2022-06-09,3,0,0,Clear,30,30
2022-06-10,4,0,0,Rainy,25,10
2022-06-11,5,1,0,Rainy,26,67
2022-06-12,6,1,0,Clear,30,110
2022-06-13,0,0,0,Rainy,24,50
2022-06-14,1,0,1,Rainy,24,104
2022-06-15,2,0,0,Rainy,25,10
2022-06-16,3,0,0,Clear,30,51
2022-06-17,4,0,0,Clear,32,36
2022-06-18,5,1,0,Rainy,24,127
2022-06-19,6,1,0,Clear,29,99
2022-06-20,0,0,0,Clear,32,65
2022-06-21,1,0,0,Rainy,24,40
2022-06-22,2,0,0,Rainy,25,21
2022-06-23,3,0,0,Rainy,26,30
2022-06-24,4,0,0,Rainy,25,15
2022-06-25,5,1,0,Rainy,26,74
2022-06-26,6,1,0,Rainy,24,67
2022-06-27,0,0,0,Cloudy,28,47
2022-06-28,1,0,0,Clear,31,52
2022-06-29,2,0,0,Clear,31,60
2022-06-30,3,0,0,Clear,29,50
2022-07-01,4,0,0,Cloudy,27,44
2022-07-02,5,1,0,Cloudy,29,147
2022-07-03,6,1,0,Rainy,25,37
2022-07-04,0,0,0,Cloudy,29,74
2022-07-05,1,0,0,Cloudy,27,13
2022-07-06,2,0,0,Cloudy,27,66
2022-07-07,3,0,0,Clear,32,40
2022-07-08,4,0,0,Clear,30,78
2022-07-09,5,1,0,Rainy,25,61
2022-07-10,6,1,1,Rainy,26,150
2022-07-11,0,0,0,Rainy,24,22
2022-07-12,1,0,0,Rainy,25,10
2022-07-13,2,0,1,Rainy,26,143
2022-07-14,3,0,0,Rainy,26,13
2022-07-15,4,0,0,Cloudy,28,71
2022-07-16,5,1,0,Clear,30,148
2022-07-17,6,1,0,Cloudy,28,137
2022-07-18,0,0,0,Cloudy,29,38
2022-07-19,1,0,0,Cloudy,29,32
2022-07-20,2,0,0,Rainy,25,10
2022-07-21,3,0,0,Rainy,26,31
2022-07-22,4,0,0,Clear,32,55
2022-07-23,5,1,0,Rainy,25,75
2022-07-24,6,1,0,Rainy,24,99
2022-07-25,0,0,0,Rainy,25,57
2022-07-26,1,0,0,Rainy,24,13
2022-07-27,2,0,0,Rainy,24,43
2022-07-28,3,0,0,Clear,29,35
2022-07-29,4,0,0,Rainy,25,42
2022-07-30,5,1,0,Rainy,25,103
2022-07-31,6,1,0,Rainy,24,111
2022-08-01,0,0,0,Clear,32,75
2022-08-02,1,0,0,Clear,31,43
2022-08-03,2,0,0,Clear,32,89
2022-08-04,3,0,0,Clear,31,96
2022-08-05,4,0,0,Rainy,24,10
2022-08-06,5,1,0,Clear,32,82
2022-08-07,6,1,0,Rainy,26,69
2022-08-08,0,0,0,Clear,31,76
2022-08-09,1,0,0,Cloudy,27,34
2022-08-10,2,0,0,Cloudy,29,69
2022-08-11,3,0,1,Cloudy,28,101
2022-08-12,4,0,0,Clear,29,87
2022-08-13,5,1,0,Clear,29,96
2022-08-14,6,1,0,Clear,29,124
2022-08-15,0,0,0,Clear,31,50
2022-08-16,1,0,0,Clear,30,39
2022-08-17,2,0,0,Cloudy,28,23
2022-08-18,3,0,0,Cloudy,29,62
2022-08-19,4,0,0,Clear,31,54
2022-08-20,5,1,0,Clear,29,162
2022-08-21,6,1,0,Clear,30,135
2022-08-22,0,0,0,Rainy,25,15
2022-08-23,1,0,0,Clear,32,51
2022-08-24,2,0,0,Clear,29,56
2022-08-25,3,0,0,Clear,30,64
2022-08-26,4,0,0,Clear,31,84
2022-08-27,5,1,0,Cloudy,27,97
2022-08-28,6,1,0,Clear,30,128
2022-08-29,0,0,0,Rainy,26,16
2022-08-30,1,0,0,Cloudy,29,17
2022-08-31,2,0,0,Cloudy,29,20
2022-09-01,3,0,0,Cloudy,29,37
2022-09-02,4,0,0,Clear,32,95
2022-09-03,5,1,0,Clear,29,106
2022-09-04,6,1,0,Cloudy,28,73
2022-09-05,0,0,0,Rainy,24,17
2022-09-06,1,0,0,Rainy,25,10
2022-09-07,2,0,0,Rainy,25,35
2022-09-08,3,0,0,Clear,29,52
2022-09-09,4,0,0,Clear,30,90
2022-09-10,5,1,1,Clear,29,191
2022-09-11,6,1,0,Clear,29,119
2022-09-12,0,0,0,Cloudy,28,41
2022-09-13,1,0,0,Rainy,25,30
2022-09-14,2,0,0,Clear,30,64
2022-09-15,3,0,0,Clear,31,53
2022-09-16,4,0,0,Clear,29,79
2022-09-17,5,1,0,Clear,29,102
2022-09-18,6,1,0,Cloudy,29,124
2022-09-19,0,0,0,Clear,29,45
2022-09-20,1,0,0,Clear,30,85
2022-09-21,2,0,0,Rainy,25,27
2022-09-22,3,0,0,Clear,31,96
2022-09-23,4,0,0,Clear,32,77
2022-09-24,5,1,0,Clear,32,168
2022-09-25,6,1,0,Clear,29,112
2022-09-26,0,0,0,Cloudy,29,58
2022-09-27,1,0,0,Rainy,25,10
2022-09-28,2,0,0,Cloudy,29,11
2022-09-29,3,0,0,Clear,32,87
2022-09-30,4,0,0,Rainy,26,29
2022-10-01,5,1,0,Cloudy,28,145
2022-10-02,6,1,0,Rainy,24,77
2022-10-03,0,0,0,Rainy,26,14
2022-10-04,1,0,0,Cloudy,28,26
2022-10-05,2,0,0,Cloudy,27,62
2022-10-06,3,0,0,Rainy,25,10
2022-10-07,4,0,0,Cloudy,29,60
2022-10-08,5,1,0,Cloudy,28,127
2022-10-09,6,1,1,Rainy,26,195
2022-10-10,0,0,0,Rainy,25,14
2022-10-11,1,0,0,Rainy,24,39
2022-10-12,2,0,0,Cloudy,27,43
2022-10-13,3,0,0,Cloudy,27,76
2022-10-14,4,0,0,Rainy,24,37
2022-10-15,5,1,0,Rainy,26,72
2022-10-16,6,1,0,Rainy,24,118
2022-10-17,0,0,0,Clear,32,62
2022-10-18,1,0,0,Rainy,25,18
2022-10-19,2,0,0,Rainy,24,26
2022-10-20,3,0,0,Clear,29,40
2022-10-21,4,0,0,Rainy,24,10
2022-10-22,5,1,0,Rainy,25,114
2022-10-23,6,1,0,Clear,31,167
2022-10-24,0,0,1,Rainy,25,28
2022-10-25,1,0,0,Rainy,24,10
2022-10-26,2,0,0,Clear,29,37
2022-10-27,3,0,0,Rainy,25,13
2022-10-28,4,0,0,Clear,30,73
2022-10-29,5,1,0,Clear,32,173
2022-10-30,6,1,0,Rainy,25,46
2022-10-31,0,0,0,Rainy,25,16
2022-11-01,1,0,0,Rainy,25,49
2022-11-02,2,0,0,Rainy,24,27
2022-11-03,3,0,0,Rainy,25,10
2022-11-04,4,0,0,Rainy,24,14
2022-11-05,5,1,0,Rainy,26,88
2022-11-06,6,1,0,Cloudy,28,143
2022-11-07,0,0,1,Rainy,26,118
2022-11-08,1,0,0,Clear,29,106
2022-11-09,2,0,0,Clear,32,40
2022-11-10,3,0,0,Clear,31,39
2022-11-11,4,0,0,Clear,29,25
2022-11-12,5,1,0,Clear,30,148
2022-11-13,6,1,0,Rainy,26,57
2022-11-14,0,0,0,Cloudy,27,46
2022-11-15,1,0,0,Clear,32,83
2022-11-16,2,0,0,Clear,30,82
2022-11-17,3,0,0,Rainy,24,55
2022-11-18,4,0,0,Rainy,24,31
2022-11-19,5,1,0,Cloudy,27,89
2022-11-20,6,1,0,Rainy,25,59
2022-11-21,0,0,0,Rainy,24,13
2022-11-22,1,0,0,Rainy,26,10
2022-11-23,2,0,0,Rainy,24,11
2022-11-24,3,0,0,Clear,30,52
2022-11-25,4,0,0,Rainy,24,19
2022-11-26,5,1,0,Rainy,24,112
2022-11-27,6,1,0,Rainy,24,81
2022-11-28,0,0,0,Clear,32,59
2022-11-29,1,0,0,Rainy,24,21
2022-11-30,2,0,0,Clear,29,75
2022-12-01,3,0,0,Clear,32,70
2022-12-02,4,0,0,Clear,32,49
2022-12-03,5,1,0,Cloudy,27,130
2022-12-04,6,1,0,Clear,30,142
2022-12-05,0,0,0,Clear,29,54
2022-12-06,1,0,0,Rainy,25,10
2022-12-07,2,0,1,Cloudy,28,169
2022-12-08,3,0,0,Clear,29,85
2022-12-09,4,0,0,Clear,31,61
2022-12-10,5,1,0,Clear,32,85
2022-12-11,6,1,0,Cloudy,28,99
2022-12-12,0,0,0,Clear,30,26
2022-12-13,1,0,0,Cloudy,27,61
2022-12-14,2,0,0,Rainy,24,12
2022-12-15,3,0,0,Clear,30,76
2022-12-16,4,0,0,Cloudy,27,44
2022-12-17,5,1,0,Clear,29,113
2022-12-18,6,1,0,Clear,31,123
2022-12-19,0,0,0,Cloudy,29,38
2022-12-20,1,0,0,Clear,32,65
2022-12-21,2,0,0,Clear,29,54
2022-12-22,3,0,0,Clear,30,81
2022-12-23,4,0,0,Cloudy,28,61
2022-12-24,5,1,0,Clear,29,154
2022-12-25,6,1,1,Cloudy,29,220
2022-12-26,0,0,0,Clear,32,85
2022-12-27,1,0,0,Clear,29,25
2022-12-28,2,0,0,Rainy,24,20
2022-12-29,3,0,0,Cloudy,29,61
2022-12-30,4,0,0,Rainy,24,32
2022-12-31,5,1,0,Clear,29,133
2023-01-01,6,1,0,Clear,29,166
2023-01-02,0,0,0,Clear,31,49
2023-01-03,1,0,0,Rainy,26,14
2023-01-04,2,0,0,Rainy,26,48
2023-01-05,3,0,0,Rainy,25,10
2023-01-06,4,0,1,Clear,29,110
2023-01-07,5,1,0,Cloudy,27,131
2023-01-08,6,1,0,Rainy,25,57
2023-01-09,0,0,0,Clear,32,89
2023-01-10,1,0,0,Cloudy,27,73
2023-01-11,2,0,0,Cloudy,28,60
2023-01-12,3,0,0,Clear,30,76
2023-01-13,4,0,0,Rainy,26,26
2023-01-14,5,1,0,Clear,32,124
2023-01-15,6,1,1,Cloudy,27,164
2023-01-16,0,0,0,Clear,30,59
2023-01-17,1,0,0,Cloudy,27,78
2023-01-18,2,0,0,Cloudy,27,19
2023-01-19,3,0,0,Clear,29,60
2023-01-20,4,0,0,Clear,29,82
2023-01-21,5,1,0,Clear,31,123
2023-01-22,6,1,0,Clear,31,140
2023-01-23,0,0,0,Clear,30,87
2023-01-24,1,0,0,Clear,30,47
2023-01-25,2,0,0,Cloudy,27,92
2023-01-26,3,0,0,Cloudy,27,67
2023-01-27,4,0,0,Clear,30,46
2023-01-28,5,1,0,Clear,29,126
2023-01-29,6,1,0,Cloudy,27,112
2023-01-30,0,0,0,Cloudy,27,47
2023-01-31,1,0,0,Cloudy,28,26
2023-02-01,2,0,0,Clear,31,56
2023-02-02,3,0,0,Clear,32,23
2023-02-03,4,0,0,Cloudy,27,31
2023-02-04,5,1,1,Cloudy,27,196
2023-02-05,6,1,1,Cloudy,28,235
2023-02-06,0,0,0,Cloudy,27,82
2023-02-07,1,0,0,Clear,29,24
2023-02-08,2,0,0,Clear,31,59
2023-02-09,3,0,0,Cloudy,27,44
2023-02-10,4,0,0,Cloudy,27,42
2023-02-11,5,1,0,Clear,31,127
2023-02-12,6,1,0,Clear,32,117
2023-02-13,0,0,0,Rainy,25,10
2023-02-14,1,0,0,Clear,29,38
2023-02-15,2,0,0,Clear,30,66
2023-02-16,3,0,0,Cloudy,28,88
2023-02-17,4,0,0,Clear,30,23
2023-02-18,5,1,1,Rainy,25,174
2023-02-19,6,1,0,Rainy,24,78
2023-02-20,0,0,0,Clear,31,65
2023-02-21,1,0,0,Cloudy,27,55
2023-02-22,2,0,0,Rainy,25,51
2023-02-23,3,0,0,Clear,29,68
2023-02-24,4,0,0,Rainy,26,23
2023-02-25,5,1,0,Clear,32,148
2023-02-26,6,1,0,Clear,30,130
2023-02-27,0,0,0,Cloudy,27,57
2023-02-28,1,0,0,Clear,29,61
2023-03-01,2,0,0,Rainy,26,28
2023-03-02,3,0,0,Clear,29,69
2023-03-03,4,0,0,Rainy,26,51
2023-03-04,5,1,0,Clear,32,98
2023-03-05,6,1,0,Clear,32,109
2023-03-06,0,0,1,Cloudy,29,84
2023-03-07,1,0,0,Cloudy,29,36
2023-03-08,2,0,0,Clear,29,54
2023-03-09,3,0,0,Clear,29,37
2023-03-10,4,0,0,Clear,30,44
2023-03-11,5,1,0,Clear,30,113
2023-03-12,6,1,0,Clear,32,132
2023-03-13,0,0,0,Clear,30,35
2023-03-14,1,0,0,Cloudy,28,60
2023-03-15,2,0,0,Clear,30,41
2023-03-16,3,0,0,Rainy,25,18
2023-03-17,4,0,0,Cloudy,29,55
2023-03-18,5,1,0,Cloudy,29,112
2023-03-19,6,1,0,Clear,30,113
2023-03-20,0,0,0,Clear,29,87
2023-03-21,1,0,0,Clear,32,58
2023-03-22,2,0,0,Clear,29,78
2023-03-23,3,0,0,Cloudy,29,71
2023-03-24,4,0,0,Clear,29,37
2023-03-25,5,1,0,Rainy,25,109
2023-03-26,6,1,0,Cloudy,28,101
2023-03-27,0,0,0,Clear,31,71
2023-03-28,1,0,0,Clear,29,89
2023-03-29,2,0,0,Cloudy,28,47
2023-03-30,3,0,0,Rainy,26,25
2023-03-31,4,0,0,Cloudy,29,23
2023-04-01,5,1,0,Clear,32,123
2023-04-02,6,1,0,Cloudy,27,128
2023-04-03,0,0,0,Cloudy,27,39
2023-04-04,1,0,0,Clear,30,60
2023-04-05,2,0,1,Rainy,24,94
2023-04-06,3,0,0,Clear,31,76
2023-04-07,4,0,1,Clear,31,157
2023-04-08,5,1,0,Clear,30,163
2023-04-09,6,1,0,Clear,31,134
2023-04-10,0,0,0,Clear,32,70
2023-04-11,1,0,0,Rainy,24,17
2023-04-12,2,0,0,Clear,31,82
2023-04-13,3,0,1,Clear,30,138
2023-04-14,4,0,1,Cloudy,27,180
2023-04-15,5,1,0,Clear,30,150
2023-04-16,6,1,0,Clear,32,131
2023-04-17,0,0,0,Clear,30,26
2023-04-18,1,0,0,Clear,31,35
2023-04-19,2,0,0,Rainy,26,10
2023-04-20,3,0,0,Clear,31,33
2023-04-21,4,0,0,Cloudy,29,60
2023-04-22,5,1,1,Cloudy,29,170
2023-04-23,6,1,0,Cloudy,28,111
2023-04-24,0,0,0,Clear,32,88
2023-04-25,1,0,0,Clear,32,55
2023-04-26,2,0,0,Clear,30,58
2023-04-27,3,0,0,Cloudy,27,38
2023-04-28,4,0,0,Rainy,25,37
2023-04-29,5,1,0,Clear,32,153
2023-04-30,6,1,0,Clear,30,119
